,Open,High,Low,Adj Close,Close,Volume,Turnover (Lacs),DPO,Low,Al_Close,Plat_Last,Settle,BSE_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close,KS11_Close,PSEIPS_Close,TWII_Close,NSEI_Close
2014-04-16,1929.25,1964.8,1926.45,1935.3,1935.25,371554.0,7238.22,-1404.6324999999968,1926.45,110.2,1437.2,2956.0,9.86,16424.85,1.5805,6584.2,9317.82,1862.31,22696.01,1992.21,6671.18,8923.79,6675.3
2014-04-22,1998.95,2006.85,1967.0,1977.0,1975.6,323792.0,6421.48,-1451.4524999999965,1967.0,111.25,1399.6,2993.0,9.87,16514.37,1.5805,6681.8,9600.09,1879.55,22730.68,2004.22,6784.95,8974.68,6815.35
2014-04-23,1984.9,1994.0,1969.0,1985.0,1982.05,398691.0,7902.47,-1456.9299999999967,1969.0,113.3,1403.2,2997.0,9.94,16501.65,1.5805,6674.7,9544.19,1875.39,22509.64,2000.37,6769.52,8956.89,6840.8
2014-04-25,1990.0,1994.0,1917.0,1955.0,1956.2,1064921.0,20698.55,-1432.9249999999963,1917.0,112.55,1422.8,2945.0,9.98,16361.46,1.5805,6685.7,9401.55,1863.4,22223.53,1971.66,6685.1,8774.09,6782.75
2014-04-28,1950.0,1966.8,1936.95,1951.75,1950.45,258675.0,5050.83,-1435.3624999999963,1936.95,113.85,1418.2,2935.0,10.0,16448.74,1.5805,6700.2,9446.36,1869.43,22132.53,1969.26,6604.35,8809.68,6761.25
2014-04-30,1921.1,1940.8,1911.0,1927.0,1923.0,243902.0,4703.64,-1413.3049999999962,1911.0,109.8,1426.6,2974.0,9.99,16580.84,1.5805,6780.0,9603.23,1883.95,22133.97,1961.79,6707.91,8791.41,6696.4
2014-05-02,1895.0,1908.7,1880.05,1883.4,1883.4,324650.0,6142.86,-1406.1049999999964,1880.05,107.7,1439.7,2910.0,9.99,16512.89,1.5805,6822.4,9556.02,1881.14,22260.67,1959.44,6742.97,8867.29,6694.8
2014-05-07,1905.2,1907.2,1878.1,1887.85,1881.25,246112.0,4646.86,-1402.2824999999966,1878.1,107.0,1433.8,2892.0,10.05,16518.54,1.5805,6796.4,9521.3,1878.21,21746.26,1939.88,6748.51,8893.19,6652.55
2014-05-08,1888.0,1900.0,1876.2,1900.0,1896.6,180796.0,3421.79,-1398.2274999999966,1876.2,105.9,1437.1,2883.0,10.02,16550.97,1.5878,6839.3,9607.4,1875.63,21837.12,1950.6,6765.21,8930.87,6659.85
2014-05-12,1975.0,2064.85,1965.05,2052.95,2049.9,555623.0,11275.55,-1454.3074999999967,1965.05,105.35,1440.9,2858.0,9.99,16695.47,1.5878,6851.8,9702.46,1896.65,22261.61,1964.94,6811.34,8808.58,7014.25
2014-05-13,2080.0,2120.0,2042.55,2090.3,2090.35,528807.0,11059.65,-1462.1999999999966,2042.55,106.2,1454.7,2894.0,10.07,16715.44,1.5878,6873.1,9754.43,1897.45,22352.38,1982.93,6852.81,8817.91,7108.75
2014-05-14,2092.0,2120.0,2059.5,2082.0,2085.2,329237.0,6838.99,-1495.5624999999968,2059.5,105.65,1484.9,2891.0,10.12,16613.97,1.5878,6878.5,9754.39,1888.53,22582.77,2010.83,6880.44,8875.13,7108.75
2014-05-15,2082.0,2127.0,2078.0,2127.0,2117.85,441637.0,9306.63,-1504.669999999997,2078.0,107.05,1469.1,2907.0,10.13,16446.81,1.5878,6840.9,9656.05,1870.85,22730.86,2010.2,6849.33,8880.62,7123.15
2014-05-16,2200.0,2318.5,2140.1,2157.65,2152.15,808438.0,17983.13,-1491.0174999999972,2140.1,105.15,1465.3,2917.0,10.16,16491.31,1.5878,6855.8,9629.1,1877.86,22712.91,2013.44,6817.71,8888.42,7203.0
2014-05-19,2190.0,2250.0,2190.0,2211.95,2214.65,490566.0,10930.93,-1504.987499999997,2190.0,103.5,1469.4,2930.0,10.15,16511.86,1.5878,6844.6,9659.39,1885.08,22704.5,2015.14,6870.9,8899.87,7263.55
2014-05-20,2222.0,2236.8,2182.55,2190.9,2194.0,225127.0,4961.43,-1514.1699999999973,2182.55,103.45,1468.1,2968.0,10.13,16374.31,1.5878,6802.0,9639.08,1872.83,22834.68,2011.26,6882.73,8887.76,7275.5
2014-05-21,2201.0,2209.95,2166.0,2166.0,2169.2,186665.0,4072.44,-1523.214999999997,2166.0,103.5,1482.3,2981.0,10.16,16533.06,1.5878,6821.0,9697.87,1888.03,22836.52,2008.33,6762.38,8862.39,7252.9
2014-05-22,2204.95,2287.0,2204.95,2256.45,2264.8,679922.0,15409.13,-1534.8749999999973,2204.95,103.55,1495.5,3001.0,10.16,16543.08,1.5878,6820.6,9720.91,1892.49,22953.76,2015.59,6830.58,8969.6,7276.4
2014-05-23,2278.7,2403.0,2265.35,2390.15,2385.85,397790.0,9226.55,-1555.0649999999969,2265.35,104.25,1475.2,3022.0,10.16,16606.27,1.5878,6815.8,9768.01,1900.53,22965.86,2017.17,6811.33,9008.19,7367.1
2014-05-27,2345.95,2368.0,2289.0,2300.0,2302.05,241821.0,5626.11,-1583.4499999999975,2289.0,106.15,1464.7,3031.0,10.18,16675.5,1.5952,6844.9,9940.82,1911.91,22944.3,1997.63,6780.26,9055.26,7318.0
2014-05-28,2290.0,2360.3,2285.25,2310.0,2309.95,352579.0,8175.87,-1586.4224999999972,2285.25,106.45,1465.1,3029.0,10.21,16633.18,1.5952,6851.2,9939.17,1909.78,23080.03,2017.06,6787.88,9121.68,7329.65
2014-05-29,2303.1,2337.7,2255.05,2313.55,2305.85,352983.0,8123.22,-1605.564999999997,2255.05,107.55,1460.1,3046.0,10.22,16698.74,1.5952,6871.3,9938.9,1920.03,23010.14,2012.26,6676.67,9108.97,7235.65
2014-05-30,2314.15,2339.95,2254.0,2266.15,2271.8,189180.0,4340.8,-1630.084999999997,2254.0,107.65,1452.7,3071.0,10.19,16717.17,1.5952,6844.5,9943.27,1923.57,23081.65,1994.96,6647.65,9075.88,7229.95
2014-06-03,2344.7,2356.8,2310.0,2342.3,2336.85,372134.0,8700.54,-1676.3874999999973,2310.0,109.0,1433.5,3070.0,10.13,16722.34,1.5952,6836.3,9919.74,1924.24,23291.04,2008.56,6800.84,9123.43,7415.85
2014-06-05,2410.0,2427.0,2367.15,2371.0,2381.2,553410.0,13246.82,-1723.4574999999977,2367.15,108.4,1445.1,3092.0,10.13,16836.11,1.5952,6813.5,9947.83,1940.46,23109.66,1995.48,6772.44,9140.69,7474.1
2014-06-09,2415.0,2449.0,2387.05,2432.5,2435.15,315081.0,7636.71,-1763.0799999999977,2387.05,109.8,1454.3,3077.0,10.13,16943.1,1.6026,6875.0,10008.63,1951.27,23117.47,1990.04,6802.73,9162.71,7654.6
2014-06-10,2475.0,2484.0,2411.0,2473.45,2464.3,559445.0,13728.23,-1781.7774999999979,2411.0,112.7,1482.2,3087.0,10.13,16945.92,1.6026,6873.6,10028.8,1950.79,23315.74,2011.8,6777.98,9222.34,7656.4
2014-06-11,2470.0,2482.5,2433.0,2440.0,2448.55,395488.0,9710.93,-1799.4449999999983,2433.0,111.0,1481.1,3120.0,10.11,16843.88,1.6026,6838.9,9949.81,1943.89,23257.29,2014.67,6809.18,9229.77,7626.85
2014-06-16,2399.0,2409.0,2360.5,2380.0,2381.15,225806.0,5378.07,-1812.079999999998,2360.5,108.65,1439.1,3126.0,10.11,16781.01,1.6026,6754.6,9883.98,1937.78,23300.67,1993.59,6758.45,9202.9,7533.55
2014-06-17,2388.0,2422.5,2381.0,2407.0,2414.45,190284.0,4573.54,-1809.8524999999977,2381.0,109.65,1443.1,3136.0,10.08,16808.49,1.6026,6766.8,9920.32,1941.99,23203.59,2001.55,6704.93,9240.57,7631.7
2014-06-18,2415.0,2449.0,2400.0,2435.0,2435.0,501190.0,12160.88,-1823.142499999998,2400.0,109.75,1450.8,3141.0,10.01,16906.62,1.6026,6778.6,9930.33,1956.98,23181.72,1989.49,6703.13,9279.9,7558.2
2014-06-19,2441.0,2449.0,2371.0,2371.25,2380.05,305893.0,7337.02,-1850.004999999998,2371.0,110.75,1474.5,3140.0,9.98,16921.46,1.61,6808.1,10004.0,1959.48,23167.73,1992.03,6699.39,9316.78,7540.7
2014-06-20,2363.25,2397.35,2362.0,2365.15,2366.4,135952.0,3232.85,-1849.0324999999982,2362.0,111.85,1457.3,3117.0,10.03,16947.08,1.61,6825.2,9987.24,1962.87,23194.06,1968.07,6730.96,9273.76,7511.45
